County,Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,Firearm Count,Firearm Rate
Albany,2016,"308,401","8,673","2,812.2","1,090",353.4,"7,583","2,458.8",124,40.2
Albany,2015,"308,613","8,636","2,798.3","1,043",338.0,"7,593","2,460.4",114,36.9
Albany,2014,"308,166","9,181","2,979.2","1,003",325.5,"8,178","2,653.8",147,47.7
Albany,2013,"306,300","9,457","3,087.5","1,006",328.4,"8,451","2,759.1",150,49.0
Albany,2012,"305,204","9,972","3,267.3","1,012",331.6,"8,960","2,935.7",137,44.9
Albany,2011,"305,571","10,725","3,509.8","1,163",380.6,"9,562","3,129.2",196,64.1
Albany,2010,"295,267","11,036","3,737.6","1,182",400.3,"9,854","3,337.3",154,52.2
Albany,2009,"298,400","10,613","3,556.6","1,289",432.0,"9,324","3,124.7",191,64.0
Albany,2008,"299,789","10,750","3,585.9","1,356",452.3,"9,394","3,133.5",238,79.4
Albany,2007,"297,154","10,584","3,561.8","1,468",494.0,"9,116","3,067.8",208,70.0
Albany,2006,"298,210","11,935","4,002.2","1,545",518.1,"10,390","3,484.1",200,67.1
Albany,2005,"298,859","12,119","4,055.1","1,615",540.4,"10,504","3,514.7",260,87.0
Albany,2004,"298,419","12,710","4,259.1","1,431",479.5,"11,279","3,779.6",194,65.0
Albany,2003,"296,677","11,977","4,037.1","1,402",472.6,"10,575","3,564.5",183,61.7
Albany,2002,"297,376","12,784","4,298.9","1,706",573.7,"11,078","3,725.3",224,75.3
Albany,2001,"295,107","13,733","4,653.6","1,649",558.8,"12,084","4,094.8",252,85.4
Albany,2000,"304,521","14,096","4,628.9","1,353",444.3,"12,743","4,184.6",153,50.2
Albany,1999,"292,929","14,145","4,828.8","1,133",386.8,"13,012","4,442.0",113,38.6
Albany,1998,"294,930","13,733","4,656.4","1,310",444.2,"12,423","4,212.2",108,36.6
Albany,1997,"290,760","14,542","5,001.4","1,450",498.7,"13,092","4,502.7",149,51.2
Albany,1996,"291,536","13,676","4,691.0","1,408",483.0,"12,268","4,208.1",117,40.1
Albany,1995,"290,756","16,699","5,743.3","1,606",552.4,"15,093","5,191.0",157,54.0
Albany,1994,"293,843","16,724","5,691.5","1,771",602.7,"14,953","5,088.8",162,55.1
Albany,1993,"294,302","15,139","5,144.0","1,669",567.1,"13,470","4,576.9",104,35.3
Albany,1992,"295,018","16,249","5,507.8","1,588",538.3,"14,661","4,969.5",116,39.3
Albany,1991,"294,030","15,464","5,259.3","1,674",569.3,"13,790","4,690.0",120,40.8
Albany,1990,"292,594","14,418","4,927.6","1,524",520.9,"12,894","4,406.8",122,41.7
Allegany,2016,"46,858",570,"1,216.4",80,170.7,490,"1,045.7",5,10.7
Allegany,2015,"47,336",579,"1,223.2",57,120.4,522,"1,102.8",1,2.1
Allegany,2014,"47,972",615,"1,282.0",68,141.7,547,"1,140.2",12,25.0
Allegany,2013,"48,220",796,"1,650.8",54,112.0,742,"1,538.8",2,4.1
Allegany,2012,"49,041",856,"1,745.5",65,132.5,791,"1,612.9",4,8.2
Allegany,2011,"49,166",895,"1,820.4",64,130.2,831,"1,690.2",4,8.1
Allegany,2010,"48,531",841,"1,732.9",89,183.4,752,"1,549.5",10,20.6
Allegany,2009,"49,605",776,"1,564.4",129,260.1,647,"1,304.3",5,10.1
Allegany,2008,"49,594",651,"1,312.7",91,183.5,560,"1,129.2",2,4.0
Allegany,2007,"50,178",710,"1,415.0",86,171.4,624,"1,243.6",6,12.0
Allegany,2006,"50,737",839,"1,653.6",119,234.5,720,"1,419.1",6,11.8
Allegany,2005,"50,647","1,069","2,110.7",134,264.6,935,"1,846.1",4,7.9
Allegany,2004,"50,659",943,"1,861.5",97,191.5,846,"1,670.0",4,7.9
Allegany,2003,"50,266",846,"1,683.0",100,198.9,746,"1,484.1",3,6.0
Allegany,2002,"50,404",862,"1,710.2",116,230.1,746,"1,480.0",8,15.9
Allegany,2001,"50,019",900,"1,799.3",143,285.9,757,"1,513.4",3,6.0
Allegany,2000,"52,720",964,"1,828.5",143,271.2,821,"1,557.3",4,7.6
Allegany,1999,"51,057",759,"1,486.6",94,184.1,665,"1,302.5",11,21.5
Allegany,1998,"51,741",891,"1,722.0",69,133.4,822,"1,588.7",10,19.3
Allegany,1997,"51,151",943,"1,843.6",84,164.2,859,"1,679.3",1,2.0
Allegany,1996,"51,291","1,096","2,136.8",93,181.3,"1,003","1,955.5",3,5.8
Allegany,1995,"51,158","1,247","2,437.5",160,312.8,"1,087","2,124.8",12,23.5
Allegany,1994,"51,575","1,235","2,394.6",129,250.1,"1,106","2,144.4",2,3.9
Allegany,1993,"51,659","1,265","2,448.8",131,253.6,"1,134","2,195.2",4,7.7
Allegany,1992,"50,820","1,378","2,711.5",161,316.8,"1,217","2,394.7",10,19.7
Allegany,1991,"50,654","1,417","2,797.4",134,264.5,"1,283","2,532.9",4,7.9
Allegany,1990,"50,470","1,280","2,536.2",146,289.3,"1,134","2,246.9",1,2.0
Bronx,2016,"1,458,255","36,834","2,525.9","13,817",947.5,"23,017","1,578.4",,
Bronx,2015,"1,448,285","36,299","2,506.3","13,409",925.9,"22,890","1,580.5",,
Bronx,2014,"1,440,569.46","36,030","2,501.1","12,713",882.5,"23,317","1,618.6",,
Bronx,2013,"1,427,341.42","36,280","2,541.8","13,020",912.2,"23,260","1,629.6",,
Bronx,2012,"1,404,470.732","35,962","2,560.5","12,801",911.4,"23,161","1,649.1",,
Bronx,2011,"1,391,333","35,130","2,524.9","12,267",881.7,"22,863","1,643.2",,
Bronx,2010,"1,387,983","34,008","2,450.2","12,070",869.6,"21,938","1,580.6",,
Bronx,2009,"1,398,093","33,755","2,414.4","11,242",804.1,"22,513","1,610.3",,
Bronx,2008,"1,385,371","35,284","2,546.9","11,345",818.9,"23,939","1,728.0",,
Bronx,2007,"1,364,553","36,053","2,642.1","11,689",856.6,"24,364","1,785.5",,
Bronx,2006,"1,363,555","36,655","2,688.2","11,922",874.3,"24,733","1,813.9",,
Bronx,2005,"1,355,320","39,024","2,879.3","12,325",909.4,"26,699","1,969.9",,
Bronx,2004,"1,369,123","40,939","2,990.2","12,797",934.7,"28,142","2,055.5",,
